rank,player,points,sets_played,kills,kills_per_set,attack_errors,attack_attempts,kill_percentage,assists,assists_per_set,setting_errors,service_aces,service_errors,service_aces_per_set,total_reception_attempts,reception_errors,positive_reception_percentage,digs,digs_per_set,blocks,blocks_per_set,block_assists,good_receptions
1,"Larson, Jordan",4569,45,213,4.73,79,581,0.23,37,0.82,0,15,15,0.33,126,3,0.69,190,4.22,19,0.42,,87
2,"De La Cruz-Mejía, Bethania",3690,45,193,4.29,51,499,0.28,9,0.20,0,14,22,0.31,171,6,0.61,117,2.60,8,0.18,,104
3,"King, Brie",3675,45,20,0.44,3,50,0.34,570,12.67,0,9,7,0.20,0,0,0.00,177,3.93,17,0.38,,0
4,"Cruz, Aury",3582,42,171,4.07,54,418,0.28,13,0.31,1,10,9,0.24,145,5,0.62,117,2.79,9,0.21,,90
5,"Lowe, Karsta",3566,45,230,5.11,74,558,0.28,7,0.16,2,4,13,0.09,1,1,0.00,131,2.91,17,0.38,,0
6,"McClendon, Deja",3127,44,118,2.68,58,342,0.18,9,0.20,0,9,13,0.20,326,19,0.59,128,2.91,14,0.32,,193
7,"Nwanebu, Ebony",3031,45,167,3.71,62,477,0.22,5,0.11,0,4,7,0.09,0,0,0.00,126,2.80,21,0.47,,0
8,"Hunter, Kelly",3027,43,20,0.47,5,49,0.31,415,9.65,0,9,7,0.21,0,0,0.00,132,3.07,15,0.35,,0
9,"Gibbemeyer, Lauren",2891,45,95,2.11,17,225,0.35,6,0.13,1,8,7,0.18,0,0,0.00,21,0.47,33,0.73,,0
10,"Tupac, Kristen",2825,45,0,0.00,0,0,0.00,31,0.69,0,0,0,0.00,390,9,0.57,200,4.44,0,0.00,,221
11,"Sybeldon, Lianna",2798,45,84,1.87,13,199,0.36,3,0.07,0,7,7,0.16,1,0,1.00,37,0.82,27,0.60,,1
12,"Stalzer, Lindsay",2745,43,90,2.09,43,293,0.16,3,0.07,0,3,9,0.07,436,16,0.47,116,2.70,18,0.42,,205
13,"Morgan, Taylor",2551,45,82,1.82,16,168,0.39,2,0.04,0,2,10,0.04,0,0,0.00,37,0.82,23,0.51,,0
14,"Clark, Tiffany",2529,45,0,0.00,0,0,0.00,28,0.62,0,0,0,0.00,353,13,0.58,173,3.84,0,0.00,,206
15,"Edmond, Leah",2260,36,123,3.42,43,337,0.24,4,0.11,0,9,9,0.25,294,15,0.49,100,2.78,22,0.61,,144
16,"Vélez Agosto, Nomaris",2434,45,0,0.00,0,0,0.00,26,0.58,0,0,0,0.00,211,10,0.59,176,3.91,0,0.00,,124
17,"Manns, Kaylee",2406,33,13,0.39,2,24,0.46,313,9.48,1,0,4,0.00,0,0,0.00,69,2.09,1,0.03,,0
18,"Seliger-Swenson, Samantha",2390,40,16,0.40,3,43,0.30,429,10.73,0,9,4,0.23,0,0,0.00,133,3.33,4,0.10,,0
19,"Castro, Sheilla",2350,39,100,2.56,34,330,0.20,6,0.15,0,3,11,0.08,2,0,0.00,76,1.95,12,0.31,,0
20,"Grant, Nia",2323,44,63,1.43,20,142,0.30,3,0.07,1,0,2,0.00,0,0,0.00,16,0.36,22,0.50,,0
21,"Sandbothe, Taylor",2315,45,68,1.51,22,187,0.25,9,0.20,0,14,16,0.31,0,0,0.00,34,0.76,28,0.62,,0
22,"McCage, Molly",2247,45,117,2.60,26,233,0.39,3,0.07,0,3,16,0.07,0,0,0.00,24,0.53,26,0.58,,0
23,"Atkinson, Sherridan",2230,37,113,3.05,35,329,0.24,1,0.03,1,1,7,0.03,0,0,0.00,85,2.30,18,0.49,,0
24,"Lichtman, Cassidy",2123,36,66,1.83,20,232,0.20,5,0.14,0,8,0,0.22,228,5,0.62,114,3.17,5,0.14,,142
25,"Rosado, Dalianliz",2199,45,0,0.00,0,0,0.00,38,0.84,0,0,0,0.00,328,21,0.44,165,3.67,0,0.00,,144
26,"Lohman, Molly",2003,40,2,0.05,2,11,0.00,1,0.03,0,6,5,0.15,0,0,0.00,14,0.35,4,0.10,,0
27,"Abbott, Symone",1914,42,118,2.81,51,333,0.20,6,0.14,0,2,14,0.05,371,18,0.49,108,2.57,5,0.12,,180
28,"Holston, Alex",1863,20,44,2.20,15,121,0.24,2,0.10,0,1,1,0.05,0,0,0.00,17,0.85,5,0.25,,0
29,"Wilson, Erica",899,9,12,1.33,7,32,0.16,0,0.00,0,1,0,0.11,35,6,0.17,7,0.78,0,0.00,,6
30,"Freeman, Sareea",938,12,4,0.33,1,6,0.50,0,0.00,0,1,1,0.08,0,0,0.00,6,0.50,2,0.17,,0
31,"Bruns, Taylor",1524,29,7,0.24,3,36,0.11,297,10.24,0,5,3,0.17,0,0,0.00,51,1.76,3,0.10,,0
32,"Crocker, Cori",1603,45,68,1.51,14,156,0.35,7,0.16,2,4,9,0.09,0,0,0.00,32,0.71,29,0.64,,0
33,"Toliver, Holly",1461,36,4,0.11,2,11,0.18,2,0.06,1,4,15,0.11,51,6,0.39,27,0.75,1,0.03,,20
34,"Carter, Katie",1313,27,25,0.93,15,99,0.10,1,0.04,0,3,7,0.11,0,0,0.00,36,1.33,1,0.04,,0
36,"Bastianelli, Ali",1011,35,46,1.31,23,122,0.19,1,0.03,0,3,17,0.09,0,0,0.00,18,0.51,24,0.69,,0
37,"Handley, Erica",250,6,2,0.33,0,2,1.00,20,3.33,0,0,1,0.00,0,0,0.00,2,0.33,1,0.17,,0
39,"Fairs, Erin",1279,24,22,0.92,21,75,0.01,3,0.13,0,5,5,0.21,97,6,0.56,32,1.33,3,0.13,,54
40,"Aliyeva, Odina",1154,25,32,1.28,15,108,0.16,4,0.16,0,0,5,0.00,157,5,0.51,42,1.68,7,0.28,,80
41,"Wieser, Kristy",134,5,1,0.20,1,3,0.00,0,0.00,0,0,2,0.00,0,0,0.00,2,0.40,2,0.40,,0
42,"Nichol, Valerie",1010,9,6,0.67,1,11,0.45,80,8.89,0,0,1,0.00,0,0,0.00,26,2.89,1,0.11,,0
43,"Johnson, Willow",1072,17,59,3.47,26,185,0.18,1,0.06,0,1,2,0.06,0,0,0.00,35,2.06,5,0.29,,0
44,"Peterson, Amanda",1049,17,0,0.00,0,0,0.00,5,0.29,0,1,1,0.06,0,0,0.00,8,0.47,0,0.00,,0
45,"Holman, Briana",270,4,11,2.75,1,24,0.42,0,0.00,0,0,1,0.00,0,0,0.00,2,0.50,1,0.25,,0
