year,team,opponent,date,points,hitting_efficiency,kill_percentage,kills,attack_errors,attacks_blocked,attack_attempts,in_system_percentage,reception_errors,reception_attempts,service_aces,service_errors,opponent_in_system_percentage,service_attempts,blocks,block_touch_percentage,digs,dig_percentage,assists,setting_efficiency
2025,Salt Lake,Austin,02/01/2025,88,0.231,39,71,13,16,182,54.3,2,94,4,8,32.4,108,13,48.5,65,83.3,67,0.221
2025,Salt Lake,Atlanta,02/07/2025,48,0.223,36.6,41,7,9,112,43.5,10,85,1,10,43.9,82,6,21.6,28,66.7,40,0.224
2025,Salt Lake,Omaha,02/08/2025,79,0.204,34.6,56,10,13,162,49,3,96,6,8,39.6,101,17,44.8,59,75.6,54,0.199
2025,Salt Lake,Austin,02/20/2025,63,0.109,30.8,48,17,14,156,46.2,3,78,5,8,38.9,90,10,32.7,69,82.1,44,0.087
2025,Salt Lake,Houston,02/27/2025,59,0.274,36.3,41,6,4,113,44.4,4,54,6,13,20.3,74,12,46.3,49,81.7,38,0.255
2025,Salt Lake,Omaha,03/06/2025,78,0.331,43.4,63,7,8,145,42,7,88,1,11,46.7,90,14,50,64,76.2,62,0.329
2025,Salt Lake,Atlanta,03/15/2025,77,0.211,35.1,60,10,14,171,40,3,100,5,10,44.8,96,12,42.9,68,80,57,0.207
2025,Salt Lake,Madison,03/20/2025,79,0.254,37.3,63,6,14,169,50.5,7,97,5,10,42.7,103,11,31.8,66,78.6,62,0.259
2025,Salt Lake,Omaha,03/29/2025,91,0.238,39.8,72,17,12,181,43.4,4,99,5,13,41.2,119,14,46.8,75,84.3,68,0.224
2025,Salt Lake,Madison,04/04/2025,71,0.221,36.9,55,10,12,149,36.4,6,88,3,11,32.3,93,13,40.4,52,73.2,53,0.234
2025,Salt Lake,Austin,04/05/2025,84,0.267,43.5,70,9,18,161,42.4,5,85,7,10,36.2,105,7,40,53,80.3,63,0.237
