rank,player,points,sets_played,kills,kills_per_set,attack_errors,attack_attempts,kill_percentage,assists,assists_per_set,setting_errors,service_aces,service_errors,service_aces_per_set,total_reception_attempts,reception_errors,positive_reception_percentage,digs,digs_per_set,blocks,blocks_per_set,block_assists,good_receptions
23,"Cruz, Aury",2014,38,67,1.76,31,228,0.16,8,0.21,2,5,9,0.13,211,4,0.57,108,2.84,5,0.13,0,121
24,"Bastianelli, Ali",2008,45,71,1.58,21,179,0.28,5,0.11,0,9,18,0.20,9,0,0.33,17,0.38,26,0.58,30,3
25,"Childress, Alisha",1979,41,16,0.39,4,49,0.24,433,10.56,15,5,7,0.12,0,0,0.00,101,2.46,10,0.24,0,0
26,"Hart, Danielle",1927,18,37,2.06,10,95,0.28,3,0.17,0,3,7,0.17,7,0,0.57,16,0.89,16,0.89,14,4
27,"Watson, Karis",1917,24,33,1.38,12,76,0.28,4,0.17,0,2,10,0.08,6,2,0.17,10,0.42,4,0.17,11,1
28,"Willis, Emma",1840,30,45,1.50,13,106,0.30,3,0.10,0,2,7,0.07,6,1,0.33,19,0.63,5,0.17,19,2
29,"Gonzaga, Sassá",1751,17,2,0.12,2,15,0.00,3,0.18,0,0,0,0.00,52,1,0.56,42,2.47,0,0.00,0,29
30,"Stalzer, Lindsay",1696,15,15,1.00,5,83,0.12,1,0.07,0,0,3,0.00,24,2,0.54,17,1.13,1,0.07,0,13
31,"Fanning, Shelly",1695,33,42,1.27,10,90,0.36,6,0.18,0,7,8,0.21,3,2,0.00,23,0.70,5,0.15,11,0
32,"Caffey, Kayla",1676,30,50,1.67,16,99,0.34,2,0.07,0,0,13,0.00,5,2,0.00,12,0.40,26,0.87,11,0
33,"Fairs, Erin",1625,28,45,1.61,19,133,0.20,7,0.25,0,3,9,0.11,205,14,0.42,70,2.50,9,0.32,0,86
34,"Reed, Nia",1609,15,30,2.00,21,125,0.07,2,0.13,0,1,0,0.07,0,0,0.00,31,2.07,6,0.40,0,0
35,"McClendon, Deja",1607,18,19,1.06,12,79,0.09,2,0.11,2,0,2,0.00,80,3,0.48,45,2.50,1,0.06,0,38
36,"Santos, Ray",1601,14,0,0.00,0,0,0.00,0,0.00,0,1,2,0.07,0,0,0.00,1,0.07,0,0.00,0,0
37,"Edelman-Cagliari, Nicole",1490,18,2,0.11,1,14,0.07,22,1.22,1,0,2,0.00,0,0,0.00,36,2.00,6,0.33,0,0
38,"Grote, Marin",1426,10,9,0.90,3,21,0.29,0,0.00,0,4,6,0.40,0,0,0.00,0,0.00,2,0.20,3,0
39,"Lukes, Katie",1263,27,62,2.30,42,223,0.09,5,0.19,0,0,8,0.00,182,6,0.45,30,1.11,6,0.22,0,81
40,"Abbott, Symone",1208,8,10,1.25,7,38,0.08,0,0.00,0,2,2,0.25,6,0,0.33,8,1.00,0,0.00,0,2
41,"Mohler, Blake",1019,13,9,0.69,10,33,-0.03,1,0.08,0,0,1,0.00,4,0,0.75,12,0.92,7,0.54,2,3
42,"Blossom, Gabby",1085,20,0,0.00,0,1,0.00,28,1.40,0,0,1,0.00,0,0,0.00,15,0.75,0,0.00,0,0
43,"Schlegel, Maria",1001,12,8,0.67,5,36,0.08,2,0.17,1,0,3,0.00,37,1,0.65,19,1.58,0,0.00,0,24
44,"Parker-Robinson, Nia",902,8,12,1.50,9,35,0.09,0,0.00,0,1,3,0.13,10,0,0.30,4,0.50,0,0.00,0,3
45,"Adekunle, Anota",236,1,2,2.00,0,3,0.67,0,0.00,0,0,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0
