rank,player,points,sets_played,kills,kills_per_set,attack_errors,attack_attempts,kill_percentage,assists,assists_per_set,setting_errors,service_aces,service_errors,service_aces_per_set,total_reception_attempts,reception_errors,positive_reception_percentage,digs,digs_per_set,blocks,blocks_per_set,block_assists,good_receptions
1,"Edmond, Leah",4313,45,224,4.98,64,525,0.30,9,0.20,0,5,12,0.11,368,18,0.47,152,3.38,26,0.58,0,174
2,"Linnehan, Alli ",3748,45,164,3.64,38,512,0.25,10,0.22,0,6,7,0.13,246,11,0.49,124,2.76,23,0.51,0,121
3,"Nuneviller, Brooke",3582,46,179,3.89,36,487,0.29,7,0.15,2,8,13,0.17,286,7,0.55,156,3.39,4,0.09,0,157
4,"Valentin-Anderson, Natalia",3369,46,23,0.50,3,50,0.40,544,11.83,8,14,14,0.30,2,0,0.00,163,3.54,10,0.22,0,0
5,"Hentz, Morgan",3274,45,0,0.00,0,1,0.00,45,1.00,1,0,0,0.00,168,5,0.63,212,4.71,0,0.00,0,105
6,"De La Cruz-Mejía, Bethania",3010,34,164,4.82,43,382,0.32,8,0.24,3,16,13,0.47,265,11,0.51,82,2.41,7,0.21,0,135
7,"Vander Weide, Lindsey",3118,38,103,2.71,36,336,0.20,6,0.16,0,7,7,0.18,281,14,0.51,75,1.97,12,0.32,0,144
8,"Hilley, Sydney",3114,45,32,0.71,4,86,0.33,545,12.11,6,11,7,0.24,4,0,0.00,108,2.40,16,0.36,0,0
9,"Collazo, Génesis",2980,44,81,1.84,34,261,0.18,4,0.09,1,4,6,0.09,2,0,0.50,107,2.43,21,0.48,0,1
10,"Chaussee, Claire",2939,44,222,5.05,69,637,0.24,5,0.11,3,6,34,0.14,370,14,0.53,114,2.59,14,0.32,0,196
11,"McCage, Molly",2896,44,122,2.77,23,244,0.41,4,0.09,0,3,16,0.07,7,0,0.43,30,0.68,22,0.50,19,3
12,"Rosenthal, Jenna",2657,44,93,2.11,19,215,0.34,2,0.05,1,6,7,0.14,17,1,0.41,43,0.98,19,0.43,19,7
13,"Tomkom, Nootsara",2529,43,6,0.14,1,29,0.17,423,9.84,9,4,11,0.09,4,2,0.00,132,3.07,4,0.09,0,0
14,"Johnson, Willow",2333,46,183,3.98,71,479,0.23,2,0.04,1,4,20,0.09,1,0,1.00,95,2.07,16,0.35,0,1
15,"Hippe, Saskia",2304,39,119,3.05,57,350,0.18,6,0.15,1,6,20,0.15,1,0,1.00,92,2.36,11,0.28,0,1
15,"White, Kendall",2304,45,0,0.00,0,0,0.00,42,0.93,0,0,0,0.00,244,11,0.57,176,3.91,0,0.00,0,138
17,"Vélez Agosto, Nomaris",2214,46,0,0.00,0,0,0.00,43,0.93,0,0,0,0.00,218,7,0.56,187,4.07,0,0.00,0,122
18,"Pressley, Yossiana",2175,41,122,2.98,53,332,0.21,1,0.02,2,5,9,0.12,134,7,0.37,114,2.78,14,0.34,0,50
19,"Dixon, Tori",2151,46,67,1.46,13,163,0.33,7,0.15,1,2,6,0.04,11,0,0.45,38,0.83,28,0.61,22,5
20,"Brown, Kaz",2135,43,91,2.12,27,213,0.30,3,0.07,1,2,6,0.05,8,1,0.50,14,0.33,33,0.77,22,4
21,"Benson, Amanda",2110,46,0,0.00,0,0,0.00,31,0.67,1,0,0,0.00,232,9,0.63,147,3.20,0,0.00,0,146
22,"Bruns Tegenrot, Taylor",2041,41,19,0.46,3,49,0.33,155,3.78,2,2,4,0.05,0,0,0.00,42,1.02,5,0.12,0,0
