rank,player,points,sets_played,kills,kills_per_set,attack_errors,attack_attempts,kill_percentage,assists,assists_per_set,setting_errors,service_aces,service_errors,service_aces_per_set,total_reception_attempts,reception_errors,positive_reception_percentage,digs,digs_per_set,blocks,blocks_per_set,block_assists,good_receptions
1,"Thompson, Jordan",2133,18,112,6.22,19,242,0.38,3,0.17,0,4,6,0.22,1,0,0.00,46,2.56,6,0.33,0,0
2,"Cooper, Reagan",1411,18,76,4.22,15,172,0.35,1,0.06,0,1,0,0.06,55,4,0.33,14,0.78,1,0.06,0,18
3,"Valentin-Anderson, Natalia",1396,18,10,0.56,0,20,0.50,214,11.89,5,3,4,0.17,1,0,0.00,65,3.61,5,0.28,0,0
4,"McCage, Molly",1274,18,38,2.11,5,76,0.43,2,0.11,0,2,6,0.11,2,0,0.50,8,0.44,19,1.06,10,1
5,"Zilio Pereira, Natália",1257,18,59,3.28,21,150,0.25,4,0.22,1,6,5,0.33,114,9,0.51,52,2.89,7,0.39,0,58
6,"Hoffman, Claire",1250,18,54,3.00,13,175,0.23,4,0.22,1,3,3,0.17,127,8,0.60,50,2.78,2,0.11,0,76
7,"Hentz, Morgan",1229,18,1,0.06,0,1,1.00,18,1.00,0,0,0,0.00,79,1,0.57,69,3.83,0,0.00,0,45
8,"Drews, Dani",1203,18,85,4.72,29,209,0.27,6,0.33,0,1,5,0.06,98,6,0.37,49,2.72,4,0.22,0,36
9,"Abercrombie, Brittany",1141,18,74,4.11,19,195,0.28,7,0.39,1,1,5,0.06,0,0,0.00,50,2.78,5,0.28,0,0
10,"Parsons, Sarah",1118,18,23,1.28,9,77,0.18,6,0.33,0,4,2,0.22,110,5,0.37,46,2.56,1,0.06,0,41
11,"Gray, Alexa",1091,13,38,2.92,16,113,0.19,2,0.15,0,1,2,0.08,148,8,0.48,31,2.38,1,0.08,0,71
12,"Dixon, Tori",1076,18,20,1.11,5,46,0.33,5,0.28,0,5,1,0.28,0,0,0.00,9,0.50,12,0.67,5,0
13,"De La Cruz-Mejía, Bethania",1054,18,68,3.78,22,180,0.26,4,0.22,0,6,6,0.33,100,6,0.51,36,2.00,3,0.17,0,51
14,"Kingdon Rishel, Madi",1048,18,84,4.67,21,204,0.31,3,0.17,0,3,4,0.17,239,13,0.36,46,2.56,1,0.06,0,86
15,"Pannoy, Piyanut",1047,18,0,0.00,0,0,0.00,21,1.17,0,0,0,0.00,88,6,0.51,75,4.17,0,0.00,0,45
16,"Nuneviller, Brooke",1019,18,48,2.67,15,136,0.24,4,0.22,0,4,1,0.22,130,7,0.46,43,2.39,3,0.17,0,60
17,"Bell, Khat",962,18,48,2.67,26,164,0.13,1,0.06,0,1,3,0.06,0,0,0.00,53,2.94,13,0.72,0,0
18,"Caffey, Kayla",952,18,24,1.33,5,48,0.40,0,0.00,0,5,12,0.28,3,0,0.33,12,0.67,5,0.28,7,1
19,"Hilley, Sydney",902,14,7,0.50,1,16,0.38,124,8.86,2,0,5,0.00,0,0,0.00,30,2.14,4,0.29,0,0
20,"Goetzinger, Elise",890,9,10,1.11,2,15,0.53,0,0.00,0,2,3,0.22,0,0,0.00,6,0.67,7,0.78,4,0
21,"Grubbs, Tessa",880,0,0,0.00,0,0,0.00,0,0.00,0,0,0,0.00,0,0,0.00,0,0.00,0,0.00,,0
