rank,player,points,sets_played,kills,kills_per_set,attack_errors,attack_attempts,kill_percentage,assists,assists_per_set,setting_errors,service_aces,service_errors,service_aces_per_set,total_reception_attempts,reception_errors,positive_reception_percentage,digs,digs_per_set,blocks,blocks_per_set,block_assists,good_receptions
22,"Haynes, Maddie",819,10,16,1.60,8,39,0.21,1,0.10,0,2,0,0.20,53,4,0.32,26,2.60,2,0.20,0,17
23,"Hancock, Micha",804,15,14,0.93,5,37,0.24,174,11.60,2,7,13,0.47,1,0,0.00,40,2.67,2,0.13,0,0
24,"Sandbothe, Taylor",782,18,28,1.56,4,64,0.38,0,0.00,0,5,4,0.28,4,0,0.75,8,0.44,10,0.56,6,3
25,"Monserez, Marlie",766,12,2,0.17,0,5,0.40,39,3.25,0,0,3,0.00,0,0,0.00,19,1.58,0,0.00,0,0
26,"Guedpard, Chompoo",760,18,2,0.11,0,3,0.67,174,9.67,4,4,2,0.22,0,0,0.00,38,2.11,3,0.17,0,0
27,"Wong-Orantes, Justine",730,18,0,0.00,0,0,0.00,17,0.94,0,0,0,0.00,43,3,0.51,45,2.50,0,0.00,0,22
28,"Bugg, Madi",729,13,4,0.31,2,13,0.15,128,9.85,4,3,6,0.23,0,0,0.00,37,2.85,1,0.08,0,0
29,"Bergmark, Bella",712,3,2,0.67,1,5,0.20,0,0.00,0,0,0,0.00,0,0,0.00,0,0.00,2,0.67,2,0
30,"Kojima, Manami",707,18,0,0.00,0,0,0.00,24,1.33,0,0,0,0.00,45,2,0.71,65,3.61,0,0.00,0,32
31,"Graham, Carly",690,6,1,0.17,0,1,1.00,2,0.33,0,0,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0
32,"Chaussee, Claire",664,12,3,0.25,5,23,-0.09,2,0.17,0,4,4,0.33,56,2,0.32,22,1.83,0,0.00,0,18
33,"Thater, Emily",648,9,12,1.33,1,28,0.39,2,0.22,0,3,5,0.33,0,0,0.00,6,0.67,7,0.78,6,0
34,"Fischer, Sophie",614,15,12,0.80,5,44,0.16,2,0.13,0,4,10,0.27,0,0,0.00,8,0.53,15,1.00,4,0
35,"Thomas-Ailara, Temi",603,11,33,3.00,12,80,0.26,1,0.09,0,0,0,0.00,12,1,0.08,16,1.45,5,0.45,0,1
36,"Legros, Annayka",554,5,11,2.20,1,20,0.50,2,0.40,1,1,4,0.20,1,0,0.00,6,1.20,3,0.60,1,0
37,"Gray, Serena",513,17,31,1.82,8,59,0.39,2,0.12,0,1,9,0.06,2,0,0.50,5,0.29,4,0.24,14,1
38,"Vicini, McKenna",488,13,8,0.62,8,26,0.00,0,0.00,0,2,4,0.15,3,1,0.33,6,0.46,8,0.62,6,1
39,"Blossom, Gabby",485,7,0,0.00,0,0,0.00,0,0.00,0,0,0,0.00,0,0,0.00,1,0.14,0,0.00,0,0
40,"Casanova, Heydi",480,1,0,0.00,0,0,0.00,0,0.00,0,0,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0
41,"Fields, Skylar",452,6,0,0.00,0,0,0.00,0,0.00,0,0,0,0.00,0,0,0.00,0,0.00,1,0.17,0,0
42,"Ofoegbu, Onye",384,4,5,1.25,1,8,0.50,0,0.00,0,1,2,0.25,2,1,0.00,0,0.00,1,0.25,0,0
43,"Teixeira, Lorenne",382,8,9,1.13,8,40,0.03,1,0.13,0,0,0,0.00,0,0,0.00,9,1.13,0,0.00,0,0
44,"Winters, Jaali",320,2,0,0.00,0,0,0.00,0,0.00,0,0,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0
