"year","team","number","player","sets_played","matches_played","points","points_per_set","kills","kills_per_set","attack_errors","attack_attempts","hitting_efficiency","assists","assists_per_set","service_aces","service_aces_per_set","serive_errors","service_errors_per_set","digs","digs_per_set","blocks","blocks_per_set"
2025,"Columbus",17,"Lush, Megan",87,24,194,2.23,163,1.87,80,544,15.3,31,0.36,9,0.1,21,220,2.53,22,0.25,6
2025,"Columbus",18,"Rammelsberg, Kaley",80,24,140,1.75,99,1.24,29,271,25.8,3,0.04,15,0.19,37,46,0.57,26,0.33,0
2025,"Columbus",20,"Cerame, Paula",76,21,1,0.01,0,0,0,0,0,62,0.82,1,0.01,0,282,3.71,0,0,1
2025,"Columbus",24,"Walker, Abby",99,28,182,1.84,138,1.39,39,348,28.4,2,0.02,6,0.06,21,60,0.61,38,0.38,3
2025,"Columbus",30,"Lewis, Morgan",75,26,134,1.79,109,1.45,67,357,11.8,0,0,5,0.07,12,33,0.44,20,0.27,3
2025,"Grand Rapids",1,"Atkinson, Sherridan",10,3,38,3.8,32,3.2,7,88,28.4,2,0.2,2,0.2,4,24,2.4,4,0.4,1
2025,"Grand Rapids",2,"Oglivie, Elena",104,28,0,0,0,0,0,0,0,82,0.79,0,0,0,392,3.77,0,0,2
2025,"Grand Rapids",3,"Leon, Valeria",13,7,0,0,0,0,0,0,0,1,0.08,0,0,0,8,0.61,0,0,0
2025,"Grand Rapids",4,"Snyder, Carli",111,28,388,3.5,315,2.84,102,1023,20.8,3,0.03,33,0.3,46,314,2.83,40,0.36,0
2025,"Grand Rapids",5,"Pritchard, Erika",66,22,210,3.18,187,2.83,91,544,17.6,2,0.03,7,0.11,18,97,1.47,16,0.24,1
2025,"Grand Rapids",6,"Nelson, Kaleigh",42,13,74,1.76,58,1.38,30,184,15.2,3,0.07,2,0.05,17,62,1.48,14,0.33,1
2025,"Grand Rapids",7,"Colvin, Raven",22,11,45,2.05,31,1.41,11,68,29.4,1,0.04,5,0.23,18,4,0.18,9,0.41,0
2025,"Grand Rapids",8,"Grote, Marin",48,18,88,1.83,58,1.21,10,145,33.1,3,0.06,4,0.08,17,25,0.52,26,0.54,0
2025,"Grand Rapids",10,"Bastianelli, Ali",103,28,265,2.57,165,1.6,40,412,30.3,5,0.05,11,0.11,46,59,0.57,89,0.86,3
2025,"Grand Rapids",11,"Raskie, August",85,26,70,0.82,46,0.54,12,125,27.2,660,7.76,5,0.06,9,221,2.6,19,0.22,22
2025,"Grand Rapids",13,"Briggs-Romine, Paige",93,27,260,2.8,226,2.43,92,724,18.5,11,0.12,14,0.15,34,239,2.57,20,0.21,2
2025,"Grand Rapids",15,"Robinson, Devyn",9,5,5,0.56,4,0.44,3,17,5.9,0,0,0,0,1,2,0.22,1,0.11,0
2025,"Grand Rapids",17,"Jensen, Alyssa",71,22,156,2.2,88,1.24,24,253,25.3,3,0.04,4,0.06,43,50,0.7,64,0.9,1
2025,"Grand Rapids",19,"Otec, Jena",36,15,1,0.03,0,0,0,0,0,11,0.31,1,0.03,1,44,1.22,0,0,0
2025,"Grand Rapids",20,"Holthaus, Eleanor",32,8,108,3.38,93,2.91,25,295,23.1,3,0.09,3,0.09,7,51,1.59,12,0.38,0
2025,"Grand Rapids",21,"Shime, Naya",34,10,109,3.21,92,2.71,45,253,18.6,1,0.03,2,0.06,27,67,1.97,15,0.44,1
2025,"Grand Rapids",22,"Turner, Camryn",72,22,58,0.81,40,0.56,10,97,30.9,569,7.9,4,0.06,8,178,2.47,14,0.19,9
2025,"Grand Rapids",27,"Abbott, Symone",6,4,12,2,10,1.67,8,41,4.9,1,0.17,1,0.17,3,8,1.33,1,0.17,0
2025,"Indy",1,"Baird, Caitie",33,8,132,4,110,3.33,44,337,19.6,2,0.06,3,0.09,13,62,1.88,19,0.58,0
2025,"Indy",2,"Hilley, Sydney",113,28,99,0.88,44,0.39,10,138,24.6,1277,11.3,15,0.13,18,308,2.73,40,0.35,22
2025,"Indy",4,"Nwokolo, Chiamaka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,"Indy",5,"Martin, Isabel",54,15,30,0.56,23,0.43,13,87,11.5,1,0.02,4,0.07,9,37,0.69,3,0.06,0
2025,"Indy",6,"Murr, Kylie",109,28,2,0.02,1,0.01,0,1,100,28,0.26,1,0.01,7,209,1.92,0,0,0
2025,"Indy",7,"Member-Meneh, Leketor",42,12,204,4.86,184,4.38,66,478,24.7,6,0.14,9,0.21,31,143,3.4,11,0.26,1
2025,"Indy",9,"Scott, Elena",116,28,0,0,0,0,0,0,0,78,0.67,0,0,3,374,3.22,0,0,0
2025,"Indy",11,"Havili, Ainise",31,15,4,0.13,3,0.1,1,9,22.2,76,2.45,1,0.03,10,30,0.97,0,0,2
2025,"Indy",12,"Crawford, Caroline",99,25,198,2,134,1.35,38,338,28.4,13,0.13,14,0.14,12,62,0.63,50,0.51,0
2025,"Indy",14,"DeBeer, Anna",55,16,172,3.13,148,2.69,74,413,17.9,8,0.14,7,0.13,25,110,2,17,0.31,0
2025,"Indy",17,"Mohler, Blake",47,13,72,1.53,59,1.25,25,163,20.9,1,0.02,1,0.02,3,32,0.68,12,0.26,3
2025,"Indy",18,"Skjodt, Carly",100,26,107,1.07,96,0.96,58,336,11.3,8,0.08,4,0.04,12,101,1.01,7,0.07,0
2025,"Indy",19,"Tealer, Azhani",110,28,464,4.22,385,3.5,151,928,25.2,6,0.06,15,0.14,19,247,2.25,64,0.58,4
2025,"Indy",20,"Wade, Grace",19,11,24,1.26,16,0.84,14,67,3,1,0.05,0,0,0,7,0.37,8,0.42,0
2025,"Indy",22,"Martyn, Lydia",73,19,205,2.81,158,2.16,43,322,35.7,3,0.04,10,0.14,24,44,0.6,37,0.51,3
2025,"Indy",23,"Čajić, Nina",69,18,240,3.48,214,3.1,92,680,17.9,6,0.09,14,0.2,39,146,2.12,12,0.17,2
2025,"Indy",26,"Okammor, Nnedi",14,4,29,2.07,19,1.36,9,44,22.7,0,0,0,0,5,5,0.36,10,0.71,1
2025,"Omaha",1,"Valentin-Anderson, Natalia",91,28,56,0.62,36,0.4,9,101,26.7,871,9.57,8,0.09,26,283,3.11,12,0.13,21
2025,"Omaha",4,"Vazquez Gomez, Valeria",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,"Omaha",5,"Nuneviller, Brooke",101,28,413,4.09,381,3.77,123,1052,24.5,32,0.32,8,0.08,26,348,3.45,24,0.24,2
2025,"Omaha",6,"Wait, Kendra",10,6,2,0.2,1,0.1,0,3,33.3,24,2.4,1,0.1,0,9,0.9,0,0,3
2025,"Omaha",8,"Cooper, Reagan",76,25,291,3.83,265,3.49,78,701,26.7,8,0.1,13,0.17,17,165,2.17,13,0.17,1
2025,"Omaha",9,"Podraza, Mac",33,15,24,0.73,12,0.36,3,34,26.5,239,7.24,5,0.15,13,55,1.67,7,0.21,2
2025,"Omaha",10,"Gómez, Camila",90,26,0,0,0,0,0,0,0,82,0.91,0,0,0,349,3.88,0,0,7
2025,"Omaha",11,"Payne, Kelsie",73,24,203,2.78,162,2.22,75,507,17.2,6,0.08,8,0.11,15,134,1.84,33,0.45,3
2025,"Omaha",14,"Batenhorst, Ally",44,17,136,3.09,128,2.91,41,348,25,1,0.02,1,0.02,12,68,1.54,7,0.16,1
2025,"Omaha",17,"Awoleye, Phoebe",25,11,43,1.72,31,1.24,5,75,34.7,0,0,1,0.04,9,7,0.28,11,0.44,0
2025,"Omaha",20,"Holder, Allison",33,13,0,0,0,0,0,0,0,7,0.21,0,0,1,56,1.7,0,0,0
2025,"Omaha",22,"Krause, Lindsay",50,22,11,0.22,7,0.14,4,22,13.6,0,0,4,0.08,13,11,0.22,0,0,1
2025,"Omaha",23,"Hord, Kaitlyn",93,27,191,2.05,102,1.1,17,256,33.2,7,0.07,7,0.07,26,54,0.58,82,0.88,1
2025,"Omaha",27,"Londot, Emily",46,21,160,3.48,128,2.78,60,386,17.6,7,0.15,5,0.11,11,100,2.17,27,0.59,0
2025,"Omaha",28,"Caffey, Kayla",82,25,173,2.11,111,1.35,31,272,29.4,3,0.04,18,0.22,39,38,0.46,44,0.54,0
2025,"Orlando",2,"Pukis, Hannah",15,5,5,0.33,2,0.13,1,4,25,91,6.07,2,0.13,3,20,1.33,1,0.07,1
2025,"Orlando",3,"Guedpard, Chompoo",98,27,31,0.32,17,0.17,8,66,13.6,1082,11.04,5,0.05,20,256,2.61,9,0.09,17
2025,"Orlando",4,"Schwan, Courtney",102,27,244,2.39,211,2.07,77,696,19.3,18,0.18,5,0.05,15,321,3.15,28,0.28,0
2025,"Orlando",5,"Murphy, Georgia",63,16,0,0,0,0,0,0,0,35,0.56,0,0,0,151,2.4,0,0,1
2025,"Orlando",6,"Abercrombie, Brittany",106,28,503,4.75,462,4.36,132,1208,27.3,14,0.13,10,0.09,21,290,2.74,31,0.29,0
2025,"Orlando",8,"Vander Weide, Lindsey",56,19,150,2.68,137,2.45,57,386,20.7,5,0.09,4,0.07,19,136,2.43,9,0.16,0
2025,"Orlando",9,"White, M'Kaela",14,6,12,0.86,3,0.21,3,18,0,0,0,0,0,3,5,0.36,9,0.64,0
2025,"Orlando",10,"Scully, Shannon",69,25,7,0.1,6,0.09,3,19,15.8,19,0.28,0,0,1,74,1.07,1,0.01,1
2025,"Orlando",11,"Brown, Kazmiere",105,27,320,3.05,228,2.17,57,524,32.6,7,0.07,19,0.18,54,56,0.53,73,0.69,5
2025,"Orlando",13,"Foster, Natalie",102,28,291,2.85,183,1.79,37,411,35.5,8,0.08,64,0.63,92,47,0.46,44,0.43,1
2025,"Orlando",14,"Anae, Adora",58,16,189,3.26,167,2.88,68,492,20.1,22,0.38,8,0.14,29,165,2.85,14,0.24,3
2025,"Orlando",15,"Hansen, Abby",18,7,25,1.39,15,0.83,9,47,12.8,1,0.06,3,0.17,4,7,0.39,7,0.39,0
2025,"Orlando",16,"Shaffmaster, Melani",34,9,12,0.35,7,0.21,3,26,15.4,118,3.47,1,0.03,2,37,1.09,4,0.12,2
2025,"Orlando",18,"Iosia, Nalani",67,18,0,0,0,0,0,0,0,31,0.46,0,0,0,135,2.02,0,0,2
2025,"Orlando",19,"Grote, Lydia",37,17,30,0.81,30,0.81,11,88,21.6,1,0.03,0,0,4,20,0.54,0,0,0
2025,"Orlando",20,"Thomsen, Kira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
