year,rank,player,points,sets_played,kills,kills_per_set,attack_errors,attack_attempts,kill_percentage,assists,assists_per_set,setting_errors,service_aces,service_errors,service_aces_per_set,total_reception_attempts,reception_errors,positive_reception_percentage,digs,digs_per_set,blocks,blocks_per_set,block_assists,good_receptions
2025,12,"Dixon, Tori",2046,37,46,1.24,11,102,0.34,9,0.24,NA,10,4,0.27,2,NA,0.5,17,0.46,26,0.7,17,1
2025,13,"Sandbothe, Taylor",1960,36,53,1.47,14,153,0.25,1,0.03,NA,13,12,0.36,5,NA,0.6,19,0.53,23,0.64,13,3
2025,14,"Pannoy, Piyanut",1957,37,NA,NA,NA,NA,NA,41,1.11,NA,NA,NA,NA,152,8,0.47,139,3.76,NA,NA,NA,72
2025,15,"Monserez, Marlie",1946,28,7,0.25,4,28,0.11,210,7.5,1,1,6,0.04,NA,NA,NA,69,2.46,1,0.04,NA,NA
2025,16,"McCage, Molly",1938,36,69,1.92,14,159,0.35,3,0.08,2,3,15,0.08,7,1,0.29,19,0.53,34,0.94,21,2
2025,17,"Gray, Alexa",1889,27,77,2.85,28,209,0.23,2,0.07,NA,3,3,0.11,248,13,0.46,53,1.96,6,0.22,NA,113
2025,18,"Parsons, Sarah",1750,37,42,1.14,18,152,0.16,7,0.19,NA,5,7,0.14,252,15,0.45,85,2.3,3,0.08,NA,113
2025,19,"De La Cruz-Mejía, Bethania",1743,36,123,3.42,35,335,0.26,4,0.11,NA,11,15,0.31,215,18,0.5,71,1.97,4,0.11,NA,108
2025,20,"Thomas-Ailara, Temi",1706,28,78,2.79,32,237,0.19,4,0.14,NA,2,7,0.07,34,3,0.26,68,2.43,10,0.36,NA,9
2025,21,"Wong-Orantes, Justine",1668,37,NA,NA,NA,NA,NA,38,1.03,NA,NA,NA,NA,93,6,0.6,106,2.86,NA,NA,NA,56
2025,22,"Caffey, Kayla",1652,36,47,1.31,9,99,0.38,1,0.03,4,10,24,0.28,9,1,0.44,25,0.69,14,0.39,17,4
2025,23,"Kojima, Manami",1638,36,NA,NA,NA,NA,NA,44,1.22,NA,NA,NA,NA,106,3,0.62,140,3.89,NA,NA,NA,66
2025,24,"Fischer, Sophie",1603,33,31,0.94,7,91,0.26,4,0.12,2,11,18,0.33,3,NA,1,17,0.52,24,0.73,16,3
2025,25,"Goetzinger, Elise",1588,11,13,1.18,2,19,0.58,NA,NA,NA,2,4,0.18,NA,NA,NA,6,0.55,7,0.64,5,NA
2025,26,"Bugg, Madi",1575,30,12,0.4,3,34,0.26,274,9.13,7,3,9,0.1,NA,NA,NA,85,2.83,5,0.17,NA,NA
2025,27,"Bell, Khat",1546,34,63,1.85,34,219,0.13,3,0.09,NA,1,5,0.03,NA,NA,NA,67,1.97,15,0.44,NA,NA
2025,28,"Chaussee, Claire",1497,30,5,0.17,6,28,-0.04,2,0.07,NA,5,10,0.17,110,6,0.34,41,1.37,NA,NA,NA,37
2025,29,"Hancock, Micha",1472,25,17,0.68,7,50,0.2,245,9.8,4,7,20,0.28,1,NA,NA,65,2.6,3,0.12,NA,NA
2025,30,"Guedpard, Chompoo",1468,20,2,0.1,NA,5,0.4,190,9.5,4,4,3,0.2,NA,NA,NA,42,2.1,3,0.15,NA,NA
2025,31,"Legros, Annayka",1410,23,26,1.13,7,54,0.35,4,0.17,1,4,12,0.17,2,1,NA,12,0.52,13,0.57,9,NA
2025,32,"Gray, Serena",1408,36,78,2.17,18,153,0.39,3,0.08,NA,5,22,0.14,6,NA,0.33,17,0.47,12,0.33,18,2
2025,32,"Thater, Emily",1408,28,37,1.32,5,77,0.42,4,0.14,NA,6,10,0.21,2,NA,0.5,20,0.71,19,0.68,13,1
2025,34,"Graham, Carly",1385,14,1,0.07,NA,1,1,2,0.14,NA,NA,NA,NA,NA,NA,NA,3,0.21,NA,NA,NA,NA
2025,35,"Haynes, Maddie",1313,22,23,1.05,14,69,0.13,1,0.05,1,3,2,0.14,80,6,0.34,36,1.64,2,0.09,NA,27
2025,36,"Grubbs, Tessa",1269,1,NA,NA,5,8,-0.63,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA
2025,37,"Casanova, Heydi",1131,9,14,1.56,10,50,0.08,1,0.11,NA,1,5,0.11,NA,NA,NA,18,2,3,0.33,NA,NA
2025,38,"Ofoegbu, Onye",1064,4,5,1.25,1,8,0.5,NA,NA,NA,1,2,0.25,2,1,NA,NA,NA,1,0.25,NA,NA
2025,39,"Teixeira, Lorenne",1062,8,9,1.13,8,40,0.03,1,0.13,NA,NA,NA,NA,NA,NA,NA,9,1.13,NA,NA,NA,NA
2025,40,"Vicini, McKenna",1028,13,8,0.62,8,26,NA,NA,NA,NA,2,4,0.15,3,1,0.33,6,0.46,8,0.62,6,1
2025,41,"Bergmark, Bella",972,3,2,0.67,1,5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.67,2,NA
2025,42,"Fields, Skylar",880,7,NA,NA,1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.14,NA,NA
2025,43,"Winters, Jaali",843,13,15,1.15,7,53,0.15,1,0.08,NA,NA,2,NA,31,NA,0.48,4,0.31,1,0.08,NA,15
2025,44,"Blossom, Gabby",759,14,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.07,NA,NA,NA,3,0.21,NA,NA,NA,NA
