rank,player,points,sets_played,kills,kills_per_set,attack_errors,attack_attempts,kill_percentage,assists,assists_per_set,setting_errors,service_aces,service_errors,service_aces_per_set,total_reception_attempts,reception_errors,positive_reception_percentage,digs,digs_per_set,blocks,blocks_per_set,block_assists,good_receptions
1,"Abercrombie, Brittany",4521,46,224,4.87,54,582,0.29,6,0.13,2,9,7,0.20,1,0,0.00,141,3.07,12,0.26,0,0
2,"De La Cruz-Mejía, Bethania",4142,46,201,4.37,59,517,0.27,12,0.26,0,17,28,0.37,253,5,0.60,126,2.74,10,0.22,0,151
3,"Kingdon Rishel, Madi",3400,46,232,5.04,69,638,0.26,6,0.13,2,6,14,0.13,267,8,0.46,131,2.85,14,0.30,0,123
4,"Hentz, Morgan",3291,46,0,0.00,0,0,0.00,58,1.26,2,0,0,0.00,153,3,0.56,242,5.26,0,0.00,0,85
5,"Member-Meneh, Leketor",3252,44,164,3.73,65,438,0.23,16,0.36,0,16,33,0.36,360,9,0.52,120,2.73,16,0.36,0,186
6,"Drews, Dani",3192,45,167,3.71,56,501,0.22,8,0.18,1,4,9,0.09,418,14,0.51,135,3.00,17,0.38,0,213
7,"Kojima, Manami",2962,45,0,0.00,0,0,0.00,47,1.04,0,0,0,0.00,146,5,0.65,196,4.36,0,0.00,0,95
8,"Hoffman, Claire",2926,46,125,2.72,45,399,0.20,16,0.35,0,6,7,0.13,341,12,0.58,109,2.37,10,0.22,0,198
9,"Thomas-Ailara, Temi",2924,40,135,3.38,38,344,0.28,9,0.23,0,4,8,0.10,259,8,0.42,84,2.10,12,0.30,0,110
10,"Valentin-Anderson, Natalia",2828,46,20,0.43,3,53,0.32,549,11.93,7,5,10,0.11,0,0,0.00,178,3.87,8,0.17,0,0
11,"Johnson, Willow",2729,40,135,3.38,48,411,0.21,4,0.10,1,6,12,0.15,1,1,0.00,91,2.28,15,0.38,0,0
12,"Dixon, Tori",2579,47,69,1.47,10,158,0.37,7,0.15,0,2,5,0.04,20,0,0.55,26,0.55,21,0.45,33,11
13,"Bell, Khat",2560,46,152,3.30,59,418,0.22,14,0.30,3,2,13,0.04,1,0,0.00,122,2.65,22,0.48,0,0
14,"Hilley, Sydney",2506,44,14,0.32,5,59,0.15,462,10.50,4,10,13,0.23,1,1,0.00,118,2.68,9,0.20,0,0
15,"Childress, Alisha",2426,46,11,0.24,1,19,0.53,360,7.83,2,1,7,0.02,0,0,0.00,93,2.02,13,0.28,0,0
16,"Bugg, Madi",2411,30,11,0.37,2,30,0.30,307,10.23,2,2,2,0.07,1,0,0.00,89,2.97,6,0.20,0,0
17,"Haneline, Kayla",2295,34,48,1.41,9,88,0.44,0,0.00,2,7,22,0.21,8,1,0.50,25,0.74,21,0.62,15,4
