rank,player,points,sets_played,kills,kills_per_set,attack_errors,attack_attempts,kill_percentage,assists,assists_per_set,setting_errors,service_aces,service_errors,service_aces_per_set,total_reception_attempts,reception_errors,positive_reception_percentage,digs,digs_per_set,blocks,blocks_per_set,block_assists,good_receptions
18,"Nuneviller, Brooke",2271,46,160,3.48,72,514,0.17,15,0.33,1,1,10,0.02,185,14,0.44,165,3.59,4,0.09,0,82
19,"Vander Weide, Lindsey",2210,44,104,2.36,58,344,0.13,7,0.16,1,6,9,0.14,421,19,0.49,99,2.25,13,0.30,0,207
20,"McCage, Molly",2175,46,92,2.00,31,237,0.26,6,0.13,3,1,13,0.02,4,0,0.75,12,0.26,40,0.87,24,3
21,"Caffey, Kayla",2144,44,63,1.43,20,147,0.29,2,0.05,0,8,24,0.18,17,0,0.71,24,0.55,31,0.70,23,12
22,"Vélez Agosto, Nomaris",2093,46,0,0.00,0,0,0.00,45,0.98,0,0,0,0.00,290,17,0.47,168,3.65,0,0.00,0,135
23,"Monserez, Marlie",2017,29,13,0.45,1,29,0.41,202,6.97,2,3,4,0.10,1,0,0.00,81,2.79,5,0.17,0,0
24,"Page, Lauren",1968,36,48,1.33,10,113,0.34,3,0.08,0,7,18,0.19,13,1,0.54,10,0.28,14,0.39,18,7
25,"Tomkom, Nootsara",1958,33,1,0.03,0,2,0.50,189,5.73,5,2,3,0.06,1,0,1.00,68,2.06,0,0.00,0,1
26,"Rosenthal, Jenna",1955,36,53,1.47,16,129,0.29,8,0.22,2,4,4,0.11,6,0,0.67,16,0.44,10,0.28,18,4
27,"Payne, Kelsie",1953,29,70,2.41,19,210,0.24,1,0.03,0,0,3,0.00,0,0,0.00,68,2.34,10,0.34,0,0
28,"Lake, Mary",1934,45,0,0.00,0,0,0.00,36,0.80,2,0,0,0.00,317,11,0.58,178,3.96,0,0.00,0,183
29,"Brown, Kaz",1891,46,58,1.26,25,158,0.21,3,0.07,4,6,16,0.13,8,0,0.75,16,0.35,31,0.67,24,6
30,"Briggs-Romine, Paige",1801,23,1,0.04,0,8,0.13,0,0.00,0,2,2,0.09,13,0,0.77,13,0.57,0,0.00,0,10
31,"Thater, Emily",1799,45,52,1.16,21,142,0.22,8,0.18,0,6,8,0.13,5,0,0.40,13,0.29,36,0.80,19,2
32,"Bruns Tegenrot, Taylor",1689,44,2,0.05,0,4,0.50,16,0.36,0,3,5,0.07,0,0,0.00,13,0.30,0,0.00,0,0
33,"Day, Gia",1650,19,23,1.21,4,51,0.37,3,0.16,0,3,9,0.16,72,6,0.44,30,1.58,0,0.00,0,32
34,"Mayfield, Allison",1576,28,34,1.21,17,108,0.16,4,0.14,0,0,4,0.00,175,10,0.57,52,1.86,3,0.11,0,100
35,"Casanova, Heydi",1564,18,26,1.44,25,107,0.01,0,0.00,0,4,9,0.22,0,0,0.00,42,2.33,6,0.33,0,0
36,"Oblad, Berkeley",1492,17,17,1.00,10,49,0.14,1,0.06,0,2,0,0.12,1,1,0.00,4,0.24,7,0.41,2,0
37,"Atkinson, Sherridan",1467,20,31,1.55,11,71,0.28,1,0.05,0,0,0,0.00,0,0,0.00,14,0.70,5,0.25,0,0
38,"Collazo, Génesis",1393,16,9,0.56,9,43,0.00,0,0.00,0,0,0,0.00,0,0,0.00,17,1.06,2,0.13,0,0
39,"Latham, Becca",1368,9,13,1.44,2,27,0.41,1,0.11,0,0,0,0.00,0,0,0.00,7,0.78,1,0.11,0,0
40,"White, M'kaela",1340,1,0,0.00,0,1,0.00,0,0.00,0,0,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0
41,"Blossom, Gabby",1314,34,0,0.00,0,0,0.00,36,1.06,0,3,1,0.09,0,0,0.00,30,0.88,0,0.00,0,0
42,"Clark, Tess",1220,2,0,0.00,0,0,0.00,0,0.00,0,0,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0
43,"Fairs, Erin",1147,11,0,0.00,0,0,0.00,0,0.00,0,0,1,0.00,2,0,0.00,3,0.27,0,0.00,0,0
44,"Watson, Karis",1137,25,34,1.36,18,86,0.19,1,0.04,0,0,9,0.00,4,0,0.50,8,0.32,9,0.36,20,2
