"year","team","opponent","date","points","hitting_efficiency","kill_percentage","kills","attack_errors","attacks_blocked","attack_attempts","in_system_percentage","reception_errors","reception_attempts","service_aces","service_errors","opponent_in_system_percentage","service_attempts","blocks","block_touch_percentage","digs","dig_percentage","assists","setting_efficiency"
2026,"Madison","Atlanta","03/28/2026",45,0.142,35,42,12,13,120,50.7,2,67,1,6,51.7,64,2,45.5,36,80,41,0.157
2026,"Madison","Atlanta","04/02/2026",75,0.194,37.6,62,16,14,165,46.1,8,102,3,10,54.8,94,10,33.9,55,72.4,60,0.203
2026,"Madison","Salt Lake","04/04/2026",69,0.224,34.6,54,10,9,156,36.8,2,87,5,10,50.6,87,10,46.3,61,76.3,54,0.247
2026,"Nebraska","Austin","01/07/2026",84,0.296,43.2,70,11,11,162,53.4,2,103,5,10,42.4,102,9,48.1,59,71.1,68,0.299
2026,"Nebraska","Houston","01/11/2026",86,0.236,38.2,68,13,13,178,49.5,5,99,3,6,45.1,119,15,37.2,63,74.1,63,0.216
2026,"Nebraska","Madison","01/16/2026",61,0.189,34.3,49,10,12,143,46,6,87,2,9,51.3,85,10,32.7,46,75.4,47,0.193
2026,"Nebraska","Atlanta","01/18/2026",53,0.22,37,37,9,6,100,57.1,3,56,7,4,53.5,75,9,48.8,43,84.3,36,0.216
2026,"Nebraska","Madison","01/30/2026",78,0.137,29.9,59,14,18,197,41.1,4,95,2,11,56.7,108,17,55,86,86.9,54,0.116
2026,"Nebraska","Austin","02/01/2026",60,0.248,37.2,54,9,9,145,41,2,83,2,8,43.7,79,4,45.2,53,79.1,54,0.29
2026,"Nebraska","Salt Lake","02/07/2026",72,0.286,42.1,59,10,9,140,36.5,6,85,4,6,52.5,86,9,53.2,54,76.1,56,0.278
2026,"Nebraska","Houston","02/11/2026",40,0.2,36,36,12,4,100,50,4,66,0,2,43.1,53,4,36.1,34,65.4,33,0.177
2026,"Nebraska","Atlanta","02/14/2026",41,0.155,32,33,6,11,103,42.4,5,66,4,6,53.7,60,4,41.9,41,89.1,32,0.15
2026,"Nebraska","Madison","02/22/2026",80,0.276,38.1,69,13,6,181,44.2,6,95,2,6,41.2,108,9,38.8,68,79.1,65,0.27
2026,"Nebraska","Houston","02/26/2026",87,0.369,45.6,73,9,5,160,55.8,4,95,3,16,49.5,111,11,48.4,64,75.3,71,0.368
2026,"Nebraska","Salt Lake","03/07/2026",61,0.333,48,49,7,8,102,42.4,1,59,2,6,56.3,77,10,44.4,43,82.7,47,0.323
2026,"Nebraska","Madison","03/12/2026",62,0.333,44.1,45,7,4,102,48,2,50,6,10,40,75,11,57.5,42,80.8,45,0.365
2026,"Nebraska","Salt Lake","03/14/2026",82,0.306,42.2,73,8,12,173,51,5,100,3,10,60.9,102,6,48.2,63,74.1,70,0.301
2026,"Nebraska","Atlanta","03/18/2026",53,0.152,35.2,37,10,11,105,48.5,3,66,6,4,50.7,71,10,44.4,36,80,34,0.13
2026,"Nebraska","Austin","03/20/2026",69,0.389,46.8,59,3,7,126,45.3,6,75,3,8,59.5,87,7,45.7,45,72.6,58,0.407
2026,"Nebraska","Atlanta","03/25/2026",72,0.234,39.2,62,16,9,158,58.6,3,87,1,11,56.8,99,9,40.7,62,88.6,59,0.221
2026,"Nebraska","Salt Lake","03/28/2026",55,0.345,46,40,8,2,87,63.8,2,47,8,9,50,73,7,48.5,31,73.8,39,0.345
2026,"Nebraska","Houston","04/01/2026",83,0.405,48.9,64,6,5,131,50.7,4,69,6,6,39.8,99,13,52.9,59,78.7,62,0.405
2026,"Nebraska","Austin","04/04/2026",77,0.219,39.1,66,14,15,169,43.3,6,97,3,5,48.5,104,8,43.8,75,81.5,65,0.216
2026,"Salt Lake","Houston","01/08/2026",62,0.383,47.7,51,7,3,107,46.7,3,60,5,10,28.8,76,6,45.2,39,66.1,47,0.359
2026,"Salt Lake","Madison","01/10/2026",44,0.056,27.2,34,14,13,125,56.1,2,66,0,8,48,58,10,53.1,52,81.3,33,0.066
2026,"Salt Lake","Houston","01/22/2026",64,0.57,63.3,50,2,3,79,61.4,3,44,5,10,36.5,73,9,41.5,39,92.9,48,0.573
2026,"Salt Lake","Madison","01/24/2026",86,0.289,42.1,64,13,7,152,50.6,2,79,11,11,57,104,11,47.5,66,85.7,61,0.285
2026,"Salt Lake","Austin","01/29/2026",83,0.229,37.6,64,7,18,170,50.5,3,91,5,14,58.5,108,14,50.8,70,81.4,62,0.226
2026,"Salt Lake","Atlanta","01/31/2026",55,0.333,44.4,36,4,5,81,50,2,40,10,9,46.3,76,9,45.2,29,85.3,35,0.368
2026,"Salt Lake","Madison","02/05/2026",74,0.313,45.5,61,7,12,134,66.2,3,74,6,10,48.2,95,7,39.1,65,87.8,60,0.331
2026,"Salt Lake","Nebraska","02/07/2026",75,0.336,44.8,60,6,9,134,52.5,4,80,6,7,36.5,92,9,38.5,52,82.5,55,0.315
2026,"Salt Lake","Austin","02/13/2026",56,0.255,38.2,42,5,9,110,44.2,1,52,4,12,45.2,74,10,55.3,51,89.5,41,0.257
2026,"Salt Lake","Houston","02/21/2026",70,0.24,36.4,56,12,7,154,52.8,5,89,7,12,47.4,88,7,40.7,59,77.6,53,0.231
2026,"Salt Lake","Austin","02/25/2026",59,0.196,33.8,50,13,8,148,47.6,4,84,4,11,56.7,78,5,50,66,82.5,48,0.191
2026,"Salt Lake","Atlanta","03/01/2026",61,0.248,37.2,51,7,10,137,43.9,4,82,5,15,47.9,86,5,43.8,52,75.4,49,0.239
2026,"Salt Lake","Atlanta","03/05/2026",77,0.309,42.4,59,5,11,139,47.3,4,91,3,15,44.7,109,15,38.2,46,68.7,57,0.301
2026,"Salt Lake","Nebraska","03/07/2026",51,0.191,36.5,42,10,10,115,56.3,2,71,1,8,42.4,67,8,36.6,30,65.2,40,0.194
2026,"Salt Lake","Nebraska","03/14/2026",88,0.353,45.5,71,10,6,156,60.9,3,92,5,9,51,109,12,52.1,65,72.2,64,0.345
2026,"Salt Lake","Atlanta","03/21/2026",39,0.13,31.5,34,6,14,108,48.4,3,64,2,11,43.1,62,3,36.1,35,81.4,34,0.146
2026,"Salt Lake","Houston","03/25/2026",45,0.172,32.8,40,10,9,122,44.9,4,69,1,6,54.9,57,4,37.8,39,72.2,38,0.171
2026,"Salt Lake","Nebraska","03/28/2026",37,0.214,39.3,33,8,7,84,50,8,64,2,10,63.8,57,2,38.9,33,71.7,33,0.229
2026,"Salt Lake","Austin","04/02/2026",48,0.257,39.4,43,7,8,109,46.3,2,67,2,6,50,68,3,29.3,33,62.3,40,0.25
2026,"Salt Lake","Madison","04/04/2026",73,0.291,41.1,62,8,10,151,50.6,5,77,2,7,36.8,94,9,44.8,71,82.6,59,0.279
